step,mloss,gloss,loss
21500.0,0.4164,0.4384,0.8548
21600.0,0.4095,0.4371,0.8466
21700.0,0.4156,0.4366,0.8522000000000001
21800.0,0.4129,0.436,0.8489
21900.0,0.4179,0.4358,0.8537
22000.0,0.4141,0.4387,0.8528
22100.0,0.4127,0.4382,0.8509
22200.0,0.4136,0.436,0.8496
22300.0,0.4131,0.4362,0.8492999999999999
22400.0,0.4164,0.4377,0.8541
22500.0,0.4129,0.4367,0.8495999999999999
22600.0,0.4167,0.438,0.8547
22700.0,0.4111,0.4371,0.8482000000000001
22800.0,0.4136,0.4371,0.8507
22900.0,0.4206,0.437,0.8575999999999999
23000.0,0.4144,0.4368,0.8512
23100.0,0.4156,0.4385,0.8541000000000001
23200.0,0.4155,0.4376,0.8531
23300.0,0.4151,0.438,0.8531
23400.0,0.4146,0.4377,0.8523000000000001
23500.0,0.4125,0.438,0.8505
23600.0,0.4145,0.4371,0.8515999999999999
23700.0,0.417,0.4366,0.8535999999999999
23800.0,0.4136,0.4362,0.8498
23900.0,0.4164,0.4372,0.8535999999999999
24000.0,0.4158,0.4358,0.8516
24100.0,0.4157,0.4368,0.8525
24200.0,0.4121,0.4367,0.8488
24300.0,0.4258,0.4388,0.8646
24400.0,0.4181,0.4381,0.8562000000000001
24500.0,0.4158,0.436,0.8518
24600.0,0.409,0.4374,0.8464
24700.0,0.4146,0.4358,0.8504
24800.0,0.4188,0.4362,0.855
24900.0,0.4209,0.437,0.8579
25000.0,0.4131,0.437,0.8501000000000001
25100.0,0.4181,0.4366,0.8547
25200.0,0.4159,0.4365,0.8524
25300.0,0.4165,0.4363,0.8528
25400.0,0.4142,0.4369,0.8511
25500.0,0.4131,0.4368,0.8499000000000001
25600.0,0.4159,0.4362,0.8521
25700.0,0.4103,0.4365,0.8468
25800.0,0.4084,0.4349,0.8432999999999999
25900.0,0.4135,0.4358,0.8492999999999999
26000.0,0.4109,0.4364,0.8472999999999999
26100.0,0.4156,0.4368,0.8524
26200.0,0.4121,0.4362,0.8483
26300.0,0.4112,0.4345,0.8457
26400.0,0.4098,0.4365,0.8463
26500.0,0.4146,0.4354,0.8500000000000001
26600.0,0.4119,0.4357,0.8475999999999999
26700.0,0.4185,0.4384,0.8569
26800.0,0.4154,0.4368,0.8522000000000001
26900.0,0.4084,0.4352,0.8435999999999999
27000.0,0.4125,0.4349,0.8473999999999999
27100.0,0.4144,0.4359,0.8503000000000001
27200.0,0.4132,0.4349,0.8481000000000001
27300.0,0.4122,0.4341,0.8463
27400.0,0.4102,0.4348,0.845
27500.0,0.4125,0.4335,0.846
27600.0,0.4158,0.4352,0.851
27700.0,0.4116,0.4354,0.847
27800.0,0.4104,0.4355,0.8459
27900.0,0.4125,0.4353,0.8478
